4 64 64
14.000005 14.000041 12.167713
0.992989 0.007011 -1.114866 25.420358
0.995621 0.004379 -1.471864 25.950926
0.997220 0.002780 -1.784581 26.298447
0.998173 0.001827 -2.031784 26.515361
0.998707 0.001293 -2.202011 26.639050
0.998946 0.001054 -2.288740 26.694488
0.998946 0.001054 -2.288733 26.694484
0.998707 0.001293 -2.201990 26.639036
0.998173 0.001827 -2.031750 26.515334
0.997220 0.002780 -1.784535 26.298402
0.995620 0.004379 -1.471809 25.950855
0.992989 0.007011 -1.114806 25.420253
0.988680 0.011320 -0.751388 24.635193
0.981630 0.018370 -0.439090 23.505914
0.970136 0.029864 -0.244944 21.938603
0.951607 0.048393 -0.215447 19.869690
0.922449 0.077551 -0.332393 17.313936
0.878411 0.121589 -0.476743 14.403586
0.815749 0.184251 -0.429010 11.389604
0.733222 0.266778 0.078552 8.589316
0.634015 0.365985 1.269410 6.291737
0.525984 0.474016 3.228440 4.659326
0.419339 0.580661 5.856381 3.677078
0.323018 0.676982 8.903235 3.179823
0.242204 0.757796 12.062335 2.940191
0.178125 0.821876 15.069058 2.761999
0.129342 0.870658 17.754243 2.529707
0.093226 0.906774 20.041963 2.203990
0.066954 0.933046 21.917170 1.789016
0.048022 0.951978 23.394777 1.302828
0.034429 0.965571 24.504123 0.764401
0.024681 0.975319 25.285049 0.193119
0.017705 0.982295 25.787153 -0.388256
0.012747 0.987253 26.067865 -0.951899
0.009283 0.990717 26.188914 -1.465266
0.006952 0.993048 26.211634 -1.893182
0.005518 0.994482 26.191080 -2.201754
0.004835 0.995165 26.169340 -2.363698
0.004835 0.995164 26.169342 -2.363684
0.005518 0.994482 26.191085 -2.201715
0.006953 0.993047 26.211635 -1.893121
0.009283 0.990717 26.188904 -1.465188
0.012748 0.987252 26.067833 -0.951810
0.017706 0.982294 25.787090 -0.388161
0.024683 0.975317 25.284945 0.193214
0.034431 0.965569 24.503969 0.764492
0.048024 0.951975 23.394565 1.302912
0.066958 0.933042 21.916896 1.789090
0.093231 0.906769 20.041622 2.204051
0.129349 0.870651 17.753835 2.529752
0.178134 0.821866 15.068589 2.762031
0.242216 0.757784 12.061824 2.940222
0.323033 0.676967 8.902719 3.179878
0.419356 0.580644 5.855908 3.677193
0.526002 0.473998 3.228059 4.659537
0.634032 0.365968 1.269151 6.292061
0.733237 0.266763 0.078418 8.589739
0.815761 0.184239 -0.429048 11.390089
0.878420 0.121580 -0.476729 14.404078
0.922455 0.077545 -0.332367 17.314390
0.951611 0.048389 -0.215439 19.870071
0.970139 0.029861 -0.244964 21.938899
0.981631 0.018369 -0.439133 23.506133
0.988680 0.011320 -0.751445 24.635348
0.992989 0.007011 -1.114866 25.420358
0.995621 0.004379 -1.471864 25.950926
0.997220 0.002780 -1.784581 26.298447
0.998173 0.001827 -2.031784 26.515361
0.998707 0.001293 -2.202011 26.639050
0.998946 0.001054 -2.288740 26.694488
0.998946 0.001054 -2.288733 26.694484
0.998707 0.001293 -2.201990 26.639036
0.998173 0.001827 -2.031750 26.515334
0.997220 0.002780 -1.784534 26.298402
0.995620 0.004379 -1.471809 25.950855
0.992989 0.007011 -1.114806 25.420253
0.988680 0.011320 -0.751388 24.635193
0.981630 0.018370 -0.439090 23.505914
0.970136 0.029864 -0.244945 21.938603
0.951607 0.048393 -0.215448 19.869690
0.922449 0.077551 -0.332393 17.313936
0.878411 0.121589 -0.476743 14.403586
0.815749 0.184251 -0.429010 11.389604
0.733222 0.266778 0.078552 8.589316
0.634015 0.365985 1.269410 6.291737
0.525984 0.474016 3.228440 4.659326
0.419339 0.580661 5.856380 3.677078
0.323018 0.676982 8.903235 3.179823
0.242204 0.757796 12.062335 2.940192
0.178125 0.821876 15.069058 2.761999
0.129342 0.870658 17.754243 2.529706
0.093226 0.906774 20.041963 2.203990
0.066954 0.933046 21.917170 1.789016
0.048022 0.951978 23.394777 1.302828
0.034429 0.965571 24.504123 0.764401
0.024681 0.975319 25.285048 0.193118
0.017705 0.982295 25.787153 -0.388256
0.012747 0.987253 26.067864 -0.951899
0.009283 0.990717 26.188914 -1.465266
0.006952 0.993048 26.211634 -1.893182
0.005518 0.994482 26.191080 -2.201754
0.004835 0.995165 26.169340 -2.363698
0.004835 0.995164 26.169342 -2.363684
0.005518 0.994482 26.191084 -2.201715
0.006953 0.993047 26.211635 -1.893121
0.009283 0.990717 26.188904 -1.465188
0.012748 0.987252 26.067833 -0.951810
0.017706 0.982294 25.787090 -0.388161
0.024683 0.975317 25.284945 0.193213
0.034431 0.965569 24.503969 0.764492
0.048024 0.951975 23.394565 1.302911
0.066958 0.933042 21.916895 1.789090
0.093231 0.906769 20.041622 2.204051
0.129349 0.870651 17.753835 2.529752
0.178134 0.821866 15.068590 2.762031
0.242216 0.757784 12.061824 2.940222
0.323033 0.676967 8.902719 3.179878
0.419356 0.580644 5.855908 3.677193
0.526002 0.473998 3.228059 4.659537
0.634032 0.365968 1.269152 6.292061
0.733237 0.266763 0.078418 8.589739
0.815761 0.184239 -0.429049 11.390089
0.878420 0.121580 -0.476729 14.404078
0.922455 0.077545 -0.332367 17.314389
0.951611 0.048389 -0.215439 19.870070
0.970139 0.029861 -0.244964 21.938899
0.981631 0.018369 -0.439133 23.506133
0.988680 0.011320 -0.751445 24.635347
0.992989 0.007011 -1.114867 25.420358
0.995621 0.004379 -1.471864 25.950926
0.997220 0.002780 -1.784581 26.298447
0.998173 0.001827 -2.031784 26.515361
0.998707 0.001293 -2.202011 26.639050
0.998946 0.001054 -2.288740 26.694488
0.998946 0.001054 -2.288733 26.694484
0.998707 0.001293 -2.201990 26.639036
0.998173 0.001827 -2.031750 26.515334
0.997220 0.002780 -1.784534 26.298402
0.995620 0.004379 -1.471809 25.950855
0.992989 0.007011 -1.114806 25.420253
0.988680 0.011320 -0.751388 24.635193
0.981630 0.018370 -0.439090 23.505914
0.970136 0.029864 -0.244945 21.938603
0.951607 0.048393 -0.215448 19.869690
0.922449 0.077551 -0.332393 17.313937
0.878411 0.121589 -0.476743 14.403586
0.815749 0.184251 -0.429010 11.389604
0.733222 0.266778 0.078552 8.589316
0.634015 0.365985 1.269410 6.291737
0.525984 0.474016 3.228439 4.659326
0.419339 0.580661 5.856380 3.677078
0.323018 0.676982 8.903235 3.179823
0.242204 0.757796 12.062335 2.940192
0.178125 0.821875 15.069058 2.761999
0.129342 0.870658 17.754243 2.529707
0.093226 0.906774 20.041963 2.203990
0.066954 0.933046 21.917170 1.789016
0.048022 0.951978 23.394776 1.302828
0.034429 0.965571 24.504123 0.764401
0.024681 0.975319 25.285048 0.193118
0.017705 0.982295 25.787153 -0.388256
0.012747 0.987253 26.067864 -0.951899
0.009283 0.990717 26.188915 -1.465265
0.006952 0.993048 26.211634 -1.893182
0.005518 0.994482 26.191080 -2.201754
0.004835 0.995165 26.169340 -2.363698
0.004835 0.995164 26.169342 -2.363684
0.005518 0.994482 26.191085 -2.201715
0.006953 0.993047 26.211635 -1.893121
0.009283 0.990717 26.188904 -1.465188
0.012748 0.987252 26.067833 -0.951810
0.017706 0.982294 25.787090 -0.388161
0.024683 0.975317 25.284945 0.193213
0.034431 0.965569 24.503969 0.764492
0.048024 0.951975 23.394565 1.302911
0.066958 0.933042 21.916896 1.789090
0.093231 0.906769 20.041622 2.204051
0.129349 0.870651 17.753835 2.529752
0.178134 0.821866 15.068590 2.762031
0.242216 0.757784 12.061824 2.940222
0.323033 0.676967 8.902719 3.179878
0.419356 0.580644 5.855908 3.677193
0.526002 0.473998 3.228059 4.659537
0.634032 0.365968 1.269152 6.292061
0.733237 0.266763 0.078418 8.589739
0.815761 0.184239 -0.429048 11.390089
0.878420 0.121580 -0.476728 14.404078
0.922455 0.077545 -0.332367 17.314389
0.951611 0.048389 -0.215439 19.870071
0.970139 0.029861 -0.244964 21.938899
0.981631 0.018369 -0.439133 23.506132
0.988680 0.011320 -0.751445 24.635347
0.992989 0.007011 -1.114867 25.420358
0.995621 0.004379 -1.471864 25.950926
0.997220 0.002780 -1.784580 26.298447
0.998173 0.001827 -2.031784 26.515361
0.998707 0.001293 -2.202011 26.639050
0.998946 0.001054 -2.288740 26.694488
0.998946 0.001054 -2.288733 26.694484
0.998707 0.001293 -2.201990 26.639036
0.998173 0.001827 -2.031750 26.515334
0.997220 0.002780 -1.784534 26.298402
0.995620 0.004379 -1.471809 25.950855
0.992989 0.007011 -1.114806 25.420253
0.988680 0.011320 -0.751388 24.635193
0.981630 0.018370 -0.439090 23.505914
0.970136 0.029864 -0.244945 21.938603
0.951607 0.048393 -0.215448 19.869690
0.922449 0.077551 -0.332393 17.313937
0.878411 0.121589 -0.476743 14.403586
0.815749 0.184251 -0.429010 11.389604
0.733222 0.266778 0.078552 8.589316
0.634015 0.365985 1.269410 6.291737
0.525984 0.474016 3.228439 4.659326
0.419339 0.580661 5.856380 3.677078
0.323018 0.676982 8.903235 3.179823
0.242204 0.757796 12.062335 2.940192
0.178125 0.821875 15.069058 2.761999
0.129342 0.870658 17.754243 2.529707
0.093226 0.906774 20.041963 2.203990
0.066954 0.933046 21.917170 1.789016
0.048022 0.951978 23.394776 1.302827
0.034429 0.965571 24.504122 0.764401
0.024681 0.975319 25.285048 0.193118
0.017705 0.982295 25.787153 -0.388256
0.012747 0.987253 26.067865 -0.951899
0.009283 0.990717 26.188915 -1.465265
0.006952 0.993048 26.211634 -1.893182
0.005518 0.994482 26.191081 -2.201753
0.004835 0.995165 26.169340 -2.363698
0.004835 0.995164 26.169342 -2.363684
0.005518 0.994482 26.191085 -2.201714
0.006953 0.993047 26.211635 -1.893121
0.009283 0.990717 26.188904 -1.465187
0.012748 0.987252 26.067833 -0.951810
0.017706 0.982294 25.787090 -0.388161
0.024683 0.975317 25.284944 0.193213
0.034431 0.965569 24.503969 0.764492
0.048024 0.951975 23.394565 1.302912
0.066958 0.933042 21.916896 1.789090
0.093231 0.906769 20.041623 2.204051
0.129349 0.870651 17.753835 2.529752
0.178134 0.821866 15.068589 2.762031
0.242216 0.757784 12.061825 2.940222
0.323033 0.676967 8.902719 3.179878
0.419356 0.580644 5.855908 3.677193
0.526002 0.473998 3.228059 4.659536
0.634032 0.365968 1.269152 6.292061
0.733237 0.266763 0.078417 8.589739
0.815761 0.184239 -0.429048 11.390089
0.878420 0.121580 -0.476728 14.404078
0.922455 0.077545 -0.332367 17.314389
0.951611 0.048389 -0.215439 19.870070
0.970139 0.029861 -0.244964 21.938899
0.981631 0.018369 -0.439133 23.506132
0.988680 0.011320 -0.751445 24.635347
0.992989 0.007011 -1.114866 25.420358
0.995621 0.004379 -1.471864 25.950926
0.997220 0.002780 -1.784581 26.298447
0.998173 0.001827 -2.031784 26.515361
0.998707 0.001293 -2.202011 26.639050
0.998946 0.001054 -2.288740 26.694488
0.998946 0.001054 -2.288733 26.694484
0.998707 0.001293 -2.201990 26.639036
0.998173 0.001827 -2.031750 26.515334
0.997220 0.002780 -1.784535 26.298402
0.995620 0.004379 -1.471809 25.950855
0.992989 0.007011 -1.114806 25.420253
0.988680 0.011320 -0.751388 24.635194
0.981630 0.018370 -0.439090 23.505915
0.970136 0.029864 -0.244944 21.938603
0.951607 0.048393 -0.215447 19.869691
0.922449 0.077551 -0.332393 17.313937
0.878411 0.121589 -0.476743 14.403586
0.815749 0.184251 -0.429010 11.389605
0.733222 0.266778 0.078552 8.589316
0.634015 0.365985 1.269410 6.291738
0.525984 0.474016 3.228439 4.659326
0.419339 0.580661 5.856380 3.677078
0.323018 0.676982 8.903235 3.179824
0.242204 0.757796 12.062335 2.940192
0.178125 0.821875 15.069058 2.762000
0.129342 0.870658 17.754243 2.529707
0.093226 0.906774 20.041963 2.203990
0.066954 0.933046 21.917169 1.789016
0.048022 0.951978 23.394776 1.302827
0.034429 0.965571 24.504122 0.764401
0.024681 0.975319 25.285048 0.193118
0.017705 0.982295 25.787153 -0.388256
0.012747 0.987253 26.067865 -0.951899
0.009283 0.990717 26.188914 -1.465265
0.006952 0.993048 26.211634 -1.893182
0.005518 0.994482 26.191080 -2.201754
0.004835 0.995165 26.169340 -2.363698
0.004835 0.995164 26.169343 -2.363684
0.005518 0.994482 26.191085 -2.201714
0.006953 0.993047 26.211635 -1.893121
0.009283 0.990717 26.188904 -1.465188
0.012748 0.987252 26.067833 -0.951810
0.017706 0.982294 25.787090 -0.388162
0.024683 0.975317 25.284944 0.193213
0.034431 0.965569 24.503969 0.764492
0.048024 0.951975 23.394566 1.302912
0.066958 0.933042 21.916896 1.789090
0.093231 0.906769 20.041623 2.204051
0.129349 0.870651 17.753835 2.529752
0.178134 0.821866 15.068590 2.762031
0.242216 0.757784 12.061824 2.940221
0.323033 0.676967 8.902719 3.179878
0.419356 0.580644 5.855908 3.677193
0.526002 0.473998 3.228059 4.659537
0.634032 0.365968 1.269152 6.292061
0.733237 0.266763 0.078418 8.589739
0.815761 0.184239 -0.429048 11.390089
0.878419 0.121580 -0.476728 14.404078
0.922455 0.077545 -0.332367 17.314389
0.951611 0.048389 -0.215439 19.870070
0.970139 0.029861 -0.244964 21.938899
0.981631 0.018369 -0.439133 23.506132
0.988680 0.011320 -0.751445 24.635347
0.992989 0.007011 -1.114866 25.420358
0.995621 0.004379 -1.471864 25.950926
0.997220 0.002780 -1.784580 26.298447
0.998173 0.001827 -2.031784 26.515361
0.998707 0.001293 -2.202011 26.639050
0.998946 0.001054 -2.288740 26.694488
0.998946 0.001054 -2.288733 26.694483
0.998707 0.001293 -2.201990 26.639036
0.998173 0.001827 -2.031750 26.515334
0.997220 0.002780 -1.784534 26.298403
0.995620 0.004379 -1.471809 25.950856
0.992989 0.007011 -1.114806 25.420253
0.988680 0.011320 -0.751388 24.635194
0.981630 0.018370 -0.439090 23.505915
0.970136 0.029864 -0.244944 21.938603
0.951607 0.048393 -0.215447 19.869691
0.922449 0.077551 -0.332393 17.313937
0.878411 0.121589 -0.476744 14.403586
0.815749 0.184251 -0.429010 11.389605
0.733222 0.266778 0.078552 8.589316
0.634015 0.365985 1.269409 6.291737
0.525984 0.474016 3.228439 4.659326
0.419339 0.580661 5.856380 3.677078
0.323018 0.676982 8.903235 3.179824
0.242204 0.757796 12.062334 2.940192
0.178125 0.821875 15.069058 2.762000
0.129342 0.870658 17.754243 2.529707
0.093226 0.906774 20.041963 2.203990
0.066954 0.933046 21.917169 1.789015
0.048022 0.951978 23.394776 1.302827
0.034429 0.965571 24.504123 0.764401
0.024681 0.975319 25.285048 0.193119
0.017705 0.982295 25.787153 -0.388256
0.012747 0.987253 26.067865 -0.951899
0.009283 0.990717 26.188914 -1.465266
0.006952 0.993048 26.211634 -1.893182
0.005518 0.994482 26.191080 -2.201754
0.004835 0.995165 26.169340 -2.363698
0.004835 0.995164 26.169342 -2.363684
0.005518 0.994482 26.191085 -2.201715
0.006953 0.993047 26.211635 -1.893121
0.009283 0.990717 26.188904 -1.465188
0.012748 0.987252 26.067833 -0.951811
0.017706 0.982294 25.787090 -0.388162
0.024683 0.975317 25.284945 0.193213
0.034431 0.965569 24.503969 0.764492
0.048024 0.951975 23.394566 1.302912
0.066958 0.933042 21.916896 1.789090
0.093231 0.906769 20.041623 2.204051
0.129349 0.870651 17.753835 2.529752
0.178134 0.821866 15.068590 2.762031
0.242216 0.757784 12.061824 2.940221
0.323033 0.676967 8.902719 3.179878
0.419356 0.580644 5.855908 3.677193
0.526002 0.473998 3.228059 4.659536
0.634032 0.365968 1.269152 6.292060
0.733237 0.266763 0.078418 8.589739
0.815761 0.184239 -0.429048 11.390089
0.878419 0.121580 -0.476728 14.404078
0.922455 0.077545 -0.332367 17.314389
0.951611 0.048389 -0.215439 19.870070
0.970139 0.029861 -0.244964 21.938899
0.981631 0.018369 -0.439133 23.506132
0.988680 0.011320 -0.751445 24.635347
0.992989 0.007011 -1.114866 25.420358
0.995621 0.004379 -1.471864 25.950926
0.997220 0.002780 -1.784580 26.298448
0.998173 0.001827 -2.031784 26.515361
0.998707 0.001293 -2.202011 26.639050
0.998946 0.001054 -2.288740 26.694488
0.998946 0.001054 -2.288733 26.694484
0.998707 0.001293 -2.201990 26.639036
0.998173 0.001827 -2.031750 26.515334
0.997220 0.002780 -1.784535 26.298402
0.995620 0.004379 -1.471809 25.950856
0.992989 0.007011 -1.114806 25.420253
0.988680 0.011320 -0.751388 24.635194
0.981630 0.018370 -0.439090 23.505915
0.970136 0.029864 -0.244944 21.938603
0.951607 0.048393 -0.215447 19.869691
0.922449 0.077551 -0.332393 17.313937
0.878411 0.121589 -0.476744 14.403586
0.815749 0.184251 -0.429010 11.389605
0.733222 0.266778 0.078551 8.589316
0.634015 0.365985 1.269409 6.291737
0.525984 0.474016 3.228439 4.659326
0.419339 0.580661 5.856380 3.677078
0.323018 0.676982 8.903235 3.179824
0.242204 0.757796 12.062335 2.940192
0.178125 0.821875 15.069058 2.761999
0.129342 0.870658 17.754242 2.529707
0.093226 0.906774 20.041962 2.203990
0.066954 0.933046 21.917169 1.789015
0.048022 0.951978 23.394776 1.302827
0.034429 0.965571 24.504122 0.764401
0.024681 0.975319 25.285048 0.193119
0.017705 0.982295 25.787153 -0.388256
0.012747 0.987253 26.067864 -0.951899
0.009283 0.990717 26.188914 -1.465266
0.006952 0.993048 26.211633 -1.893182
0.005518 0.994482 26.191080 -2.201754
0.004835 0.995165 26.169340 -2.363698
0.004835 0.995164 26.169342 -2.363684
0.005518 0.994482 26.191085 -2.201715
0.006953 0.993047 26.211635 -1.893121
0.009283 0.990717 26.188904 -1.465188
0.012748 0.987252 26.067833 -0.951811
0.017706 0.982294 25.787090 -0.388161
0.024683 0.975317 25.284945 0.193213
0.034431 0.965569 24.503969 0.764492
0.048024 0.951975 23.394566 1.302912
0.066958 0.933042 21.916896 1.789090
0.093231 0.906769 20.041623 2.204051
0.129349 0.870651 17.753835 2.529752
0.178134 0.821866 15.068590 2.762031
0.242216 0.757784 12.061825 2.940221
0.323033 0.676967 8.902720 3.179878
0.419356 0.580644 5.855908 3.677193
0.526002 0.473998 3.228059 4.659536
0.634032 0.365968 1.269152 6.292060
0.733237 0.266763 0.078418 8.589739
0.815761 0.184239 -0.429048 11.390089
0.878419 0.121580 -0.476728 14.404078
0.922455 0.077545 -0.332367 17.314389
0.951611 0.048389 -0.215439 19.870070
0.970139 0.029861 -0.244964 21.938899
0.981631 0.018369 -0.439133 23.506132
0.988680 0.011320 -0.751445 24.635347
0.992989 0.007011 -1.114866 25.420358
0.995621 0.004379 -1.471864 25.950926
0.997220 0.002780 -1.784581 26.298447
0.998173 0.001827 -2.031784 26.515361
0.998707 0.001293 -2.202011 26.639050
0.998946 0.001054 -2.288740 26.694488
0.998946 0.001054 -2.288733 26.694484
0.998707 0.001293 -2.201990 26.639036
0.998173 0.001827 -2.031750 26.515334
0.997220 0.002780 -1.784534 26.298403
0.995620 0.004379 -1.471809 25.950855
0.992989 0.007011 -1.114806 25.420253
0.988680 0.011320 -0.751388 24.635194
0.981630 0.018370 -0.439090 23.505915
0.970136 0.029864 -0.244944 21.938603
0.951607 0.048393 -0.215447 19.869691
0.922449 0.077551 -0.332393 17.313937
0.878411 0.121589 -0.476744 14.403586
0.815749 0.184251 -0.429011 11.389605
0.733222 0.266778 0.078552 8.589316
0.634015 0.365985 1.269409 6.291737
0.525984 0.474016 3.228439 4.659326
0.419339 0.580661 5.856380 3.677079
0.323018 0.676982 8.903235 3.179824
0.242204 0.757796 12.062335 2.940192
0.178125 0.821875 15.069058 2.762000
0.129342 0.870658 17.754242 2.529707
0.093226 0.906774 20.041962 2.203989
0.066954 0.933046 21.917169 1.789015
0.048022 0.951978 23.394776 1.302828
0.034429 0.965571 24.504122 0.764401
0.024681 0.975319 25.285048 0.193119
0.017705 0.982295 25.787153 -0.388256
0.012747 0.987253 26.067864 -0.951899
0.009283 0.990717 26.188914 -1.465266
0.006952 0.993048 26.211634 -1.893182
0.005518 0.994482 26.191080 -2.201754
0.004835 0.995165 26.169340 -2.363698
0.004835 0.995164 26.169342 -2.363684
0.005518 0.994482 26.191085 -2.201715
0.006953 0.993047 26.211635 -1.893121
0.009283 0.990717 26.188904 -1.465188
0.012748 0.987252 26.067833 -0.951810
0.017706 0.982294 25.787090 -0.388161
0.024683 0.975317 25.284945 0.193213
0.034431 0.965569 24.503969 0.764492
0.048024 0.951975 23.394566 1.302912
0.066957 0.933042 21.916896 1.789090
0.093231 0.906769 20.041623 2.204050
0.129349 0.870651 17.753835 2.529752
0.178134 0.821866 15.068590 2.762031
0.242216 0.757784 12.061825 2.940221
0.323033 0.676967 8.902720 3.179878
0.419356 0.580644 5.855908 3.677193
0.526002 0.473998 3.228059 4.659536
0.634032 0.365968 1.269152 6.292060
0.733237 0.266763 0.078418 8.589739
0.815761 0.184239 -0.429048 11.390089
0.878419 0.121580 -0.476728 14.404078
0.922455 0.077545 -0.332367 17.314389
0.951611 0.048389 -0.215439 19.870070
0.970139 0.029861 -0.244964 21.938898
0.981631 0.018369 -0.439133 23.506132
0.988680 0.011320 -0.751445 24.635347
0.992989 0.007011 -1.114866 25.420358
0.995621 0.004379 -1.471864 25.950925
0.997220 0.002780 -1.784581 26.298447
0.998173 0.001827 -2.031784 26.515361
0.998707 0.001293 -2.202011 26.639050
0.998946 0.001054 -2.288740 26.694488
0.998946 0.001054 -2.288733 26.694484
0.998707 0.001293 -2.201990 26.639036
0.998173 0.001827 -2.031750 26.515334
0.997220 0.002780 -1.784534 26.298403
0.995620 0.004379 -1.471809 25.950855
